fecha,sexo,ciudad,nivel_educativo,segmento,estado_civil,edad,altura_cm,ingresos,gasto_mensual,puntuacion_credito,demanda
2024-01-01,F,Medellín,,B,Unión libre,19.0,161.8217536154217,3574.7538055497994,1832.731832355529,640.4653716910668,119.20299465394648
2024-01-02,F,Barranquilla,,B,,52.0,167.81956592071606,3163.6268152352322,,533.1084297117247,124.45787438605258
2024-01-03,M,Bogotá,Secundaria,B,Soltero/a,38.0,165.75621927786474,2765.6722591873927,1219.5350735395593,491.0169095189094,
2024-01-04,F,Bogotá,,B,Casado/a,57.0,160.64266969464728,4320.39734547341,1908.3248162111013,,129.4267919563263
2024-01-05,M,Cali,Técnico,B,Soltero/a,67.0,151.40290868342757,,1887.3856970210634,610.2139941966565,133.91631930482262
2024-01-06,M,Barranquilla,Universitario,,,46.0,,5455.272957221287,2408.4417648428307,,122.64267920726928
2024-01-07,F,Cali,,C,,60.0,175.13793235704242,2769.800963369348,464.6162147320972,559.4260430643417,128.25062856251014
2024-01-08,M,Bogotá,Universitario,A,Unión libre,59.0,164.86532522590775,5075.96668087031,2529.546803099967,553.5067313001722,125.66277974008044
2024-01-09,,Bogotá,Secundaria,C,,55.0,180.51937408317124,4544.179790704629,2135.6156498837317,636.2474091821739,
2024-01-10,F,Barranquilla,Técnico,B,Soltero/a,53.0,165.68464822044314,5968.280833191839,2600.299853087845,,124.17813790600005
2024-01-11,M,Medellín,Secundaria,B,,34.0,182.29874924131423,3787.4770126773738,1644.2123529111793,,133.95100241276035
2024-01-12,M,Barranquilla,Universitario,A,Casado/a,42.0,167.59939794466075,2440.3126184019293,663.1679032070442,501.12465990546735,135.4994259735218
2024-01-13,M,Bogotá,Técnico,A,,29.0,168.66984219235923,3658.520339134964,1636.4160752254031,,129.57714032184157
2024-01-14,,Bogotá,Técnico,,,45.0,178.74925920435015,4266.900344161372,1869.4689268676393,746.1082620211157,138.17909444499924
2024-01-15,F,Barranquilla,Secundaria,C,Casado/a,38.0,168.25164258245445,3489.4586033113546,1093.355871740223,651.1141579599425,
2024-01-16,M,Medellín,Universitario,A,Soltero/a,30.0,173.85706581252913,3862.392055265357,,,124.46594706623726
2024-01-17,M,,Universitario,B,Soltero/a,20.0,179.4204721834685,3541.88184246972,1625.3614347701653,550.2482023092464,124.98641134400829
2024-01-18,M,Medellín,Técnico,C,Casado/a,44.0,170.74362941586125,2599.0009244957473,,464.26712197395295,109.9057992789115
2024-01-19,F,Cali,Universitario,B,Casado/a,42.0,154.36310997402708,3421.467276785357,2245.797110489238,,114.75223205436112
2024-01-20,F,Cartagena,Universitario,A,Casado/a,24.0,167.1530707682902,3280.5392208855246,776.5638206118578,,104.14330239365476
2024-01-21,F,Medellín,,B,Casado/a,37.0,168.21798420976882,4166.438195947365,,,109.49941875965871
2024-01-22,F,Cali,,A,,26.0,181.00443532072276,3277.021174606694,1441.2108882635741,581.2451479524781,111.77580640152206
2024-01-23,M,Barranquilla,Universitario,A,,40.0,160.207626763397,3040.6277553769787,,567.7193836452044,117.43728272037241
2024-01-24,F,Bogotá,Secundaria,C,Soltero/a,32.0,174.06693483380818,4102.078646415361,,730.4922697287248,108.767269320376
2024-01-25,M,Cartagena,Técnico,,,55.0,159.62384959456912,4379.696838973295,1701.1692551558376,,108.69325747510725
2024-01-26,M,Bogotá,Secundaria,,Soltero/a,45.0,155.40109148958084,4012.258000900032,1704.1201741943055,602.6735681065443,109.75936216553175
2024-01-27,F,Cali,Secundaria,A,Soltero/a,29.0,180.85165378897455,,,,119.3743590839239
2024-01-28,F,Cartagena,Posgrado,,Casado/a,36.0,173.96033335803506,3035.795998727149,,704.0142091006828,114.06869351051238
2024-01-29,M,Cartagena,Técnico,C,Casado/a,21.0,156.32309793546318,2651.468757843493,1079.6421609529077,,114.98977982880835
2024-01-30,F,Medellín,Universitario,,Casado/a,53.0,160.08444476302995,3497.254572842209,,645.3384700877837,115.31264517998758
2024-01-31,M,Barranquilla,Técnico,,Casado/a,64.0,,4240.141535563545,1502.9402896124352,,114.88662457417004
2024-02-01,F,,Secundaria,B,Soltero/a,42.0,156.77128346128555,3320.399179211431,1374.8993419482497,,133.25455931459595
2024-02-02,M,Bogotá,Universitario,B,Soltero/a,41.0,173.06057456244457,1965.692529666795,,,129.55710775449563
2024-02-03,M,Bogotá,,B,Soltero/a,40.0,173.5330757613476,4340.157981388694,1918.2596478252974,,125.78368236544546
2024-02-04,F,Cartagena,Secundaria,B,,58.0,184.7307389208085,3543.0515681322713,,615.8665470871887,135.12567680847891
2024-02-05,M,Bogotá,Técnico,B,Divorciado/a,50.0,163.10015908413556,3491.8821846712513,1142.6717508387062,,134.74691699078465
2024-02-06,M,Bogotá,Técnico,,Soltero/a,37.0,176.4354888651316,4138.667888945387,1969.688461913568,582.0964430064747,142.0635341132623
2024-02-07,M,Cartagena,Universitario,,Soltero/a,45.0,169.06355134353615,3097.9730879742774,,651.316662887762,
2024-02-08,F,Bogotá,Posgrado,C,Soltero/a,33.0,159.79252052043486,3999.414681336286,2300.2318259766394,,145.2312799788098
2024-02-09,F,Cartagena,Secundaria,A,,37.0,183.75396346268948,4148.239468927337,1318.3778016813858,552.4454607772827,130.56891319266157
2024-02-10,M,Cali,Técnico,,,49.0,169.02961017653436,3661.0582336139323,2021.3336100412862,,124.94163556601644
2024-02-11,M,Medellín,Secundaria,B,,69.0,163.94801426459384,4534.100921702821,1566.010346171184,730.1753241047741,125.00050638162332
2024-02-12,F,Cali,Posgrado,C,Unión libre,28.0,191.09763647792198,4264.896300158575,1899.1476675384024,,139.42670875697965
2024-02-13,M,Bogotá,Secundaria,B,Soltero/a,32.0,148.7846248665256,2837.256401889067,751.489819332689,721.431665948019,113.33183846626703
2024-02-14,M,Cali,Secundaria,A,Soltero/a,21.0,170.26252205995078,,2274.69158678495,520.1180083809721,
2024-02-15,F,Bogotá,Técnico,B,,,175.5281745956611,3636.1334618224037,1702.7069670205574,515.7891758352091,118.49607644227343
2024-02-16,M,Barranquilla,Secundaria,A,,26.0,167.48891037578835,3689.924662820428,1438.523022194191,,125.13150866415026
